fecha,nubosidad
2017-07-05,26.22
2017-08-04,13.99
2017-08-24,38.3
2017-09-13,17.89
2017-10-03,12.06
2017-10-13,15.3
2017-10-23,10.35
2017-11-02,20.17
2017-11-12,9.99
2017-11-22,12.22
2017-12-02,12.93
2017-12-12,16.71
2017-12-17,16.82
2017-12-22,17.32
2018-01-01,16.29
2018-01-11,17.91
2018-01-16,13.15
2018-01-21,15.57
2018-01-31,31.31
2018-02-10,11.29
2018-02-15,5.95
2018-02-20,6.76
2018-03-07,4.59
2018-03-22,11.93
2018-03-27,6.61
2018-05-11,13.99
2018-05-16,16.11
2018-05-21,28.89
2018-06-15,16.14
2018-06-20,22.14
2018-06-25,23.29
2018-07-05,31.27
2018-07-10,17.74
2018-07-30,14.93
2018-08-04,15.06
2018-08-09,17.84
2018-08-19,35.12
2018-08-24,15.02
2018-08-29,18.33
2018-09-13,7.7
2018-09-23,9.61
2018-09-28,5.94
2018-10-03,7.6
2018-10-08,10.09
2018-10-13,12.11
2018-10-23,27.35
2018-10-28,13.41
2018-11-07,14.86
2018-12-02,9.5
2018-12-07,20.66
2018-12-12,14.81
2018-12-17,13.43
2018-12-22,14.72
2019-01-01,18.07
2019-01-06,21.32
2019-01-11,24.42
2019-01-16,32.1
2019-01-21,20.44
2019-01-26,20.2
2019-02-05,21.62
2019-02-20,19.43
2019-02-25,23.33
2019-03-02,39.92
2019-03-12,22.37
2019-03-17,26.8
2019-03-22,46.73
2019-04-11,16.21
2019-04-26,5.14
2019-05-01,4.61
2019-05-06,4.73
2019-05-11,3.34
2019-05-16,5.46
2019-05-26,5.02
2019-05-31,8.94
2019-06-05,53.93
2019-06-10,6.51
2019-06-15,8.5
2019-06-15,8.49
2019-06-20,48.74
2019-06-25,27.17
2019-06-30,30.53
2019-06-30,30.28
2019-07-05,24.4
2019-07-10,5.14
2019-07-15,4.55
2019-07-20,20.72
2019-07-25,6.65
2019-07-30,40.99
2019-08-04,7.98
2019-08-09,6.36
2019-08-14,6.36
2019-08-24,6.37
2019-09-03,8.69
2019-09-18,6.38
2019-09-28,19.32
2019-10-08,8.23
2019-10-13,11.24
2019-10-23,51.58
2019-11-02,26.57
2019-11-12,7.77
2019-12-02,54.38
2019-12-07,16.36
2019-12-27,8.84
2020-01-01,13.42
2020-01-06,8.35
2020-01-11,10.15
2020-01-16,8.42
2020-01-26,29.76
2020-01-31,11.06
2020-02-05,44.82
2020-02-10,7.85
2020-02-15,8.21
2020-02-20,7.51
2020-02-25,9.24
2020-03-06,11.09
2020-03-11,5.56
2020-03-26,40.3
2020-04-05,33.98
2020-04-20,42.87
2020-05-05,7.27
2020-05-20,3.45
2020-05-30,4.44
2020-06-09,22.63
2020-06-14,12.49
2020-06-19,8.58
2020-06-29,7.45
2020-07-04,11.63
2020-07-19,6.59
2020-07-24,8.33
2020-08-03,54.77
2020-08-08,5.72
2020-08-13,3.68
2020-08-28,4.33
2020-09-02,3.31
2020-09-12,3.33
2020-09-27,5.09
2020-10-12,4.33
2020-10-17,4.33
2020-11-01,3.86
2020-11-11,3.33
2020-11-21,5.1
2020-12-01,6.36
2020-12-06,4.34
2020-12-16,7.83
2020-12-26,4.63
2020-12-31,3.69
2021-01-05,4.7
2021-01-15,5.17
2021-02-14,35.08
2021-02-19,2.56
2021-03-11,48.35
2021-03-16,2.33
2021-03-21,1.74
2021-03-31,3.77
2021-04-05,3.49
2021-04-20,3.39
2021-04-30,36.35
2021-05-20,3.7
2021-06-09,17.23
2021-06-14,9.01
2021-06-24,9.76
2021-07-14,11.56
2021-07-19,6.83
2021-07-29,6.82
2021-08-13,11.59
2021-08-18,21.45
2021-08-28,6.73
2021-09-02,7.79
2021-09-12,6.04
2021-09-17,6.47
2021-10-02,7.87
2021-10-07,3.98
2021-11-01,32.84
2021-11-06,7.82
2021-11-11,7.0
2021-11-16,5.97
2021-11-26,6.78
2021-12-01,8.58
2021-12-11,9.24
2021-12-16,23.57
2021-12-31,12.51
2022-01-05,12.11
2022-01-15,14.29
2022-01-30,1.93
2022-02-14,1.32
2022-03-01,0.0
2022-04-25,10.55
2022-05-10,10.7
2022-05-15,20.89
2022-05-30,22.3
2022-06-04,48.6
2022-06-09,6.98
2022-06-24,28.4
2022-06-29,8.68
2022-07-09,11.26
2022-07-14,13.94
2022-07-29,18.24
2022-08-03,8.83
2022-08-08,10.01
2022-08-18,5.54
2022-08-23,5.43
2022-08-28,9.83
2022-09-07,5.1
2022-09-17,21.11
2022-09-27,9.61
2022-10-02,5.41
2022-10-27,0.94
2022-11-01,0.26
2022-11-06,0.29
2022-12-16,0.31
2022-12-31,0.51
2023-01-05,0.0
2023-01-10,0.21
2023-01-20,0.65
2023-01-30,44.57
2023-02-04,0.39
2023-03-01,0.08
2023-03-11,0.01
2023-03-16,7.3
2023-04-05,6.91
2023-04-15,54.08
2023-04-20,5.89
2023-04-25,37.33
2023-05-10,14.79
2023-05-15,4.4
2023-05-20,5.33
2023-06-04,18.91
2023-06-14,5.77
2023-06-24,3.86
2023-06-29,5.44
2023-07-04,5.22
2023-07-14,15.18
2023-07-29,38.63
2023-08-13,18.58
2023-08-23,3.12
2023-08-28,4.29
2023-09-17,48.41
2023-09-22,5.88
2023-09-27,7.32
2023-10-02,6.31
2023-10-07,0.85
2023-10-12,0.9
2023-11-06,38.69
2023-11-21,0.07
2023-11-26,2.15
2023-12-11,24.68
2023-12-16,0.66
2023-12-21,0.49
2023-12-26,0.62
2024-01-25,0.17
2024-02-04,0.39
2024-02-29,0.31
2024-03-05,0.35
2024-03-15,5.53
2024-03-30,5.9
2024-04-09,5.27
2024-04-14,6.33
2024-04-19,59.5
2024-04-24,5.39
2024-05-04,5.94
2024-05-09,3.98
2024-05-14,43.51
2024-05-19,54.02
2024-05-29,25.83
2024-06-03,23.95
2024-06-13,3.03
2024-06-23,5.66
2024-07-08,36.8
2024-07-13,36.44
2024-07-18,25.37
2024-07-23,3.46
2024-08-02,28.45
2024-08-17,3.09
2024-08-27,42.87
2024-09-06,5.19
2024-09-11,9.73
2024-09-16,4.45
2024-09-26,4.54
2024-10-01,6.42
2024-10-06,48.56
2024-10-11,1.05
2024-10-21,56.85
2024-10-26,2.14
2024-10-31,8.43
2024-11-05,0.0
2024-11-10,0.13
2024-11-20,15.26
2024-11-30,0.75
2024-12-10,0.47
2024-12-15,1.03
2024-12-15,0.43
2024-12-20,0.47
2024-12-25,0.35
2024-12-30,1.37
2025-01-14,0.41
2025-01-19,0.38
2025-01-19,0.47
2025-01-24,0.27
2025-02-03,0.09
2025-02-13,0.17
2025-03-15,9.79
2025-03-25,19.46
2025-03-30,8.52
2025-04-06,9.66
2025-04-09,8.47
2025-04-16,15.11
2025-04-24,6.82
2025-04-26,51.37
2025-05-06,29.99
2025-05-16,5.5
2025-05-24,7.61
2025-05-26,22.74
2025-05-29,34.7
